response.main.verb,chain,workerid,gloss,trialnum,response,response.caveman,clozeIndex,document,original,condition
wait,22,10,It thing.,11,I could not wait to taste that delicious burrito,I wait,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,event_only
happen,62,10,I stick.,12,What happened next was really funny.,what happen,0,151,At this point I'm just sticking around to watch the show.,event_only
satisfied,68,10,Manager shout.,13,He was not at all satisfied,he satisfied at all,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",event_only
hungry,41,10,We people.,14,We were very hungry,we hungry,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",event_only
decide,40,10,I have.,15,We decided not to have a dessert,we decide,1,086,I always had to speak up and try to get her attention for a refill.,event_only
come,88,10,He tell.,16,He comes back to the table,he come to table,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",event_only
make,18,10,I tip.,17,We made a good choice,we make choice,2,271,"I usually tip well, but I gave the waiter 12%, which actually was too much.",event_only
come,58,11,It freezing.,1,I come.,I come,0,171,It's freezing this time of year so I didn't want to sit near the door.,caveman
break,76,11,She decide.,2,I break.,I break,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",caveman
eat,22,11,It thing.,3,I eat.,I eat,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,caveman
bad,11,11,We be.,4,Son bad.,bad,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",caveman
pay,18,11,We remain for hour to spite.,5,I pay.,I pay,1,271,"Just to spite him, we remained at our table for nearly 3 hours.",caveman
salad,102,11,We start on way.,6,Salad back.,salad,7,151,We started on our way out of the restaurant.,caveman
they,86,11,I order.,7,They order.,they,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",caveman
leave,68,11,Manager shout after they.,8,He leave.,he leave,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",caveman
like,40,11,Waitress offer.,9,I like.,I like,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",caveman
come,84,11,Seconds come.,10,Food come.,Food come,0,063,A few seconds later the server came to check on us and asked how our food was.,caveman
hungry,41,11,Food good.,11,We hungry.,hungry,0,120,"The food was good, the service was good, we had a fun time.",caveman
mad,110,11,I wonder.,12,She mad.,mad,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",caveman
work,48,11,Judge try in reality.,13,I work.,I work,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",caveman
lie,88,11,He tell.,14,I lie.,I lie,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",caveman
cold,10,11,It be.,15,It cold.,cold,0,025,It was off to a bad start as soon as I walked in the door.,caveman
eat,41,11,We people.,16,We eat.,we eat,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",caveman
mad,168,11,I embarrassed.,17,She mad.,mad,2,177,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,caveman
think,78,12,We not allow.,1,"You think you was correct, but really you had it all wrong.",you think,0,022,"As I said, we did not allow it to tarnish our evening.",caveman
look,88,12,He tell.,2,Then he looks at what he took out of my hands.,he look,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",caveman
day,40,12,Waitress offer.,3,"I have never felt so lively, today was a wonderful day.",today day,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",caveman
drop,168,12,Husband decide.,4,When I walked into the cafeteria I dropped my plate.,I drop plate,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,caveman
talk,110,12,Dish not hot.,5,My wife is talking to me about retiring from work.,wife talk to I,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,caveman
ask,125,12,He stand to i.,6,The waiter asks me what I would like to order.,waiter ask I,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",caveman
begin,29,12,It happen on holiday.,7,As I walked out side the rain began to pour like mad.,rain begin,0,171,It happened on a bank holiday and I was not at work that day.,caveman
place,22,12,It thing.,8,"I was in the drive-thru at Mcdonalds, I placed my order.",I place order,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,caveman
sit,86,12,I order.,9,I sat down at the table in the restaurant.,I sit at table,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
storm,68,12,Manager shout after they.,10,After he threw the ticket he stormed out of the place.,he storm of place,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",caveman
talk,41,12,We people.,11,We talk while we walk towards the table.,we talk,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",caveman
stop,84,12,Seconds come.,12,We stop talking at the waiter approaches the table.,we stop,0,063,A few seconds later the server came to check on us and asked how our food was.,caveman
have,76,12,She break.,13,She had just to make her decision on the menu but was getting close.,she have just,0,033,"Of course, she breaks the teabag inside.",caveman
experience,10,12,It freezing.,14,It was a great experience.,it experience,1,025,It's freezing this time of year so I didn't want to sit near the door.,caveman
look,62,12,I stick.,15,I looked down at my salad and noticed something.,I look at salad,0,151,At this point I'm just sticking around to watch the show.,caveman
start,18,12,Waiter say.,16,We started another conversation while we ate.,we start conversation,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",caveman
tell,11,12,We be.,17,I told my son not to do that again.,I tell son,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",caveman
tell,11,13,We be.,1,But I told him there would be certain conditions he would need to meet.,I tell he,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",caveman
dream,20,13,Couple run.,2,It would be a dream come true despite the details to work out.,it dream,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",caveman
say,125,13,He stand to i.,3,She said not to worry about it.,she say,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",caveman
leave,62,13,I stick.,4,We left at the same time.,we leave at time,0,151,At this point I'm just sticking around to watch the show.,caveman
have,78,13,You think.,5,We had to leave our dog outside in the car.,we have,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",caveman
discuss,76,13,She break.,6,We discussed it at length. ,we discuss it at length,0,033,"Of course, she breaks the teabag inside.",caveman
hurry,86,13,I order.,7,We were in a hurry.,we hurry,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",caveman
think,68,13,Manager shout after they.,8,I thought to myself that it was a waste of food.,I think to myself,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",caveman
warm,41,13,We people.,9,The atmosphere was warm and welcoming.,atmosphere warm,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",caveman
think,88,13,He tell.,10,I thought about it for some time.,I think about it for time,5,023,He told them they were no longer welcome.,caveman
lovely,18,13,We remain for hour to spite.,11,The entire experience was lovely.,experience lovely,1,271,"Just to spite him, we remained at our table for nearly 3 hours.",caveman
have,40,13,Waitress offer.,12,Do have any batteries left?,have battery,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",caveman
know,29,13,It pour with rain.,13,You never know what to expect this time of year.,you know,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,caveman
relax,22,13,It thing.,14,We relaxed and took our time when the meal arrived.,we relax,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,caveman
like,110,13,I refuse.,15,She usually doesn't like a sink of dirty dishes being left.,she like sink,2,050,I refused but also declined to tip the culprit.,caveman
stop,84,13,Server start.,16,I stopped the watch just in time.,I stop watch in time,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",caveman
order,47,13,He mention.,17,We both ordered the same thing.,we order thing,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,caveman
ask,68,14,He throw.,1,We asked for our meal to be comped.,we ask for meal,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",event_only
ask,68,14,He throw.,1,They asked for their meal to be comped.,they ask for meal,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",event_only
drop,168,14,Husband decide.,2,I dropped the plate.,I drop plate,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,event_only
tell,11,14,We be.,3,I told my son to sit down or else we'd leave.,I tell son,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",event_only
ask,88,14,He tell.,4,I asked for the specials.,I ask for special,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",event_only
ask,78,14,You think.,5,They asked if we would switch tables. ,they ask,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",event_only
finish,18,14,Waiter say.,6,We finished our meal and waited for the bill.,we finish meal,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",event_only
ask,102,14,Salad deliver.,7,Our waited asked how our food tasted.,we ask,5,151,The salads with the dinners were delivered before the appetizer we ordered.,event_only
bring,110,14,I wonder.,8,The waiter brought us free dessert anyway.,waiter bring dessert,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",event_only
ask,41,14,We people.,9,We asked for a table for two.,we ask for table for two,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",event_only
look,125,14,He stand.,10,She looked over the menu.,she look over menu,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",event_only
read,76,14,She break.,11,The waiter read us the specials.,waiter read,0,033,"Of course, she breaks the teabag inside.",event_only
ask,40,14,Waitress offer.,12,Our waiter asked if we'd been here before.,waiter ask,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",event_only
sit,84,14,Seconds come.,13,We sat down.,we sit,0,063,A few seconds later the server came to check on us and asked how our food was.,event_only
look,22,14,It thing.,14,I looked over the menu.,I look over menu,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,event_only
have,10,14,It be.,15,The restaurant had the AC turned up high.,restaurant have ac,0,025,It was off to a bad start as soon as I walked in the door.,event_only
get,58,14,It freezing.,16,We quickly got a table. ,we get table,0,171,It's freezing this time of year so I didn't want to sit near the door.,event_only
make,86,14,I order.,17,We made a reservation and got a table quickly.,we make reservation,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,event_only
care,22,15,It thing.,1,Why do you care about what I order,you care about what tmod I,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,caveman
able,84,15,Server start.,2,You'll be able to see in seconds come,you able,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",caveman
let,168,15,I embarrassed.,3,"As for what women order, a lot of them let their husband decide.",lot let as_for order,2,177,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,caveman
retire,110,15,I refuse.,4,Why would my wife retire.,wife retire,2,050,I refused but also declined to tip the culprit.,caveman
be,68,15,He throw.,5,WHo could this couple be.,who be,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",caveman
keep,125,15,He stand to i.,6,which one should we keep,we keep one,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",caveman
happen,29,15,It pour with rain.,7,When did it happen on holiday,it happen on holiday,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,caveman
break,76,15,She decide.,8,what bone did she break,she break bone,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",caveman
be,11,15,Son behave.,9,what would we be,we be what,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,caveman
order,86,15,I order.,10,What soup should I order,I order soup,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
do,40,15,I have.,11,what soup did the waitress offer,soup do offer,1,086,I always had to speak up and try to get her attention for a refill.,caveman
do,40,15,I have.,11,what soup did the waitress offer,soup do offer,1,086,I always had to speak up and try to get her attention for a refill.,caveman
go,88,15,I interrupt.,12,where should i go.,i go,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",caveman
i,18,15,Waiter say.,13,How much should i tip,i,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",caveman
will,47,15,He mention.,14,when will the waiter come,will,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,caveman
ask,41,15,Food good.,15,what did she ask,she ask what,0,243,"The food was good, the service was good, we had a fun time.",caveman
ask,41,15,Food good.,15,what did she ask,she ask what,0,243,"The food was good, the service was good, we had a fun time.",caveman
i,102,15,We start on way.,16,How should i reply,i,7,151,We started on our way out of the restaurant.,caveman
do,78,15,You think.,17,What rules do we not allow?,rule do what,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",caveman
misbehave,11,16,We be.,1,Son misbehave.,misbehave,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",caveman
walk,84,16,Seconds come.,2,Walk up to server.,walk to server,0,063,A few seconds later the server came to check on us and asked how our food was.,caveman
give,40,16,Waitress offer.,3,He gives.,he give,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",caveman
eat,22,16,It thing.,4,I eat.,I eat,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,caveman
leave,125,16,He stand to i.,5,Waiter leaves.,Waiter leave,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",caveman
wait,86,16,I order.,6,I wait.,I wait,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",caveman
ask,88,16,He tell.,7,He ask.,he ask,5,023,He told them they were no longer welcome.,caveman
end,29,16,It pour with rain.,8,Holiday end.,Holiday end,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,caveman
leave,68,16,Manager shout after they.,9,He leave.,he leave,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",caveman
grab,62,16,I stick.,10,I grab.,I grab,0,151,At this point I'm just sticking around to watch the show.,caveman
end,10,16,It freezing.,11,It end.,it end,1,025,It's freezing this time of year so I didn't want to sit near the door.,caveman
ask,110,16,I refuse.,12,I ask.,I ask,2,050,I refused but also declined to tip the culprit.,caveman
employee,48,16,Judge try in reality.,13,They are employees.,they employee,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",caveman
buy,76,16,She decide.,14,She buy.,she buy,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",caveman
sign,18,16,We remain for hour to spite.,15,I sign.,I sign,1,271,"Just to spite him, we remained at our table for nearly 3 hours.",caveman
I,168,16,Husband decide.,16,I trip.,I,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,caveman
enter,41,16,Food good.,17,We enter.,we enter,0,243,"The food was good, the service was good, we had a fun time.",caveman
able,76,17,She break.,1,She was finally able to decide.,she able,0,033,"Of course, she breaks the teabag inside.",caveman
ready,22,17,It thing.,2,I am ready to order.,I ready to order,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,caveman
need,41,17,We seat.,3,I need to ask for another item.,I need,2,120,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",caveman
eat,84,17,Server start.,4,I can definitely still eat more.,I eat more,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",caveman
ask,102,17,Salad deliver before appetizer.,5,The waiter asks if we need anything else.,waiter ask,5,151,The salads with the dinners were delivered before the appetizer we ordered.,caveman
do,168,17,I embarrassed.,6,The husband did not mind.,husband do mind,2,177,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,caveman
find,58,17,It freezing.,7,I find a table to enjoy my meal.,I find table,0,171,It's freezing this time of year so I didn't want to sit near the door.,caveman
decide,21,17,Waitress come.,8,I am deciding on what to eat.,I decide,0,243,"After perusing our menus, the waitress came over to take our order.",caveman
have,18,17,Waiter say.,9,We had rude service.,we have service,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",caveman
make,11,17,Son behave.,10,The son accidentally makes a mess.,son make mess,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,caveman
get,110,17,I refuse.,11,I get home from work late.,I get from work,2,050,I refused but also declined to tip the culprit.,caveman
begin,88,17,He tell.,12,I begin to get upset.,I begin,5,023,He told them they were no longer welcome.,caveman
think,78,17,We not allow.,13,I think the meal was good.,I think,0,022,"As I said, we did not allow it to tarnish our evening.",caveman
decide,40,17,I have.,14,I decided to order another.,I decide,1,086,I always had to speak up and try to get her attention for a refill.,caveman
decide,68,17,He throw.,15,They decided to leave the restaurant.,they decide,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",caveman
arrive,86,17,I order.,16,We all arrive on time for our meal.,we arrive on time,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
decide,10,17,It freezing.,17,I decide to order it as well.,I decide,1,025,It's freezing this time of year so I didn't want to sit near the door.,caveman
suck,10,18,It was off to a bad start as soon as I walked in the door.,1,"The weather in Michigan winters sucks, especially in this old house.",weather suck in house,0,025,It was off to a bad start as soon as I walked in the door.,original
strong,76,18,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",2,Now my tea is so strong I can't drink it.,tea strong,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",original
wear,11,18,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,3,He eventually wore out and crashed.,he wear,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,original
get,68,18,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",4,"After the third steak, the man was getting visibly agitated, and appeared to become violent.",man get after steak,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",original
tell,88,18,"I interrupted her stating, ""I will go get my manager,'' and walked away.",5,I told the guest that their coupons were not any good here.,I tell guest,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",original
tell,88,18,"I interrupted her stating, ""I will go get my manager,'' and walked away.",5,I told the guest that their coupons were not any good here.,I tell guest,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",original
come,168,18,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,6,My wife came completely unglued and threatened to sue the restaurant.,wife come,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,original
unruly,48,18,"In reality this ""judge'' was trying to hide his martini on the floor.",7,"The patron was unruly, but looked too drunk to do anything about it.",patron unruly,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",original
know,86,18,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,8,"We did not know what the bill would look like, since the rest of the experience was so bad.",we know,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,original
love,41,18,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",9,We love this restaurant.,we love restaurant,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",original
hear,40,18,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",10,The waitress either can't hear or doesn't pay attention.,waitress hear,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",original
end,41,18,"The food was good, the service was good, we had a fun time.",11,We ended up carrying on quite a conversation with the waitress.,we end,0,120,"The food was good, the service was good, we had a fun time.",original
douche,18,18,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",12,The annoying waiter was a real douche.,waiter douche,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",original
tell,84,18,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",13,We told him it was great.,we tell he,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",original
be,110,18,"I wonder, however, what we could have done differently to avoid his attitude.",14,We will not be back.,we be,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",original
embarrassed,22,18,It was a good thing that they didn't prepare my meal before giving me the price!,15,I have never been so embarrassed.,I embarrassed,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,original
get,102,18,We started on our way out of the restaurant.,16,We got up and began to walk out of the restaurant.,we get,7,151,We started on our way out of the restaurant.,original
small,29,18,It happened on a bank holiday and I was not at work that day.,17,The next location was extremely small.,location small,0,171,It happened on a bank holiday and I was not at work that day.,original
bring,84,19,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",1,A server had just brought out food.,server bring food,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",original
awful,18,19,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",2,Our waiter was totally awful. ,waiter awful,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",original
pain,76,19,"Of course, she breaks the teabag inside.",3,Martha has been being a complete pain all night.,Martha pain tmod night,0,033,"Of course, she breaks the teabag inside.",original
make,88,19,He told them they were no longer welcome.,4,I made it clear that I wouldn't tolerate that type of behavior either.,I make,5,023,He told them they were no longer welcome.,original
helpful,40,19,I always had to speak up and try to get her attention for a refill.,5,The waitress was helpful but seemed to dislike me.,waitress helpful,1,086,I always had to speak up and try to get her attention for a refill.,original
begin,102,19,We started on our way out of the restaurant.,6,We began leaving the restaurant.,we begin,7,151,We started on our way out of the restaurant.,original
enjoy,78,19,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",7,We enjoyed the night just fine.,we enjoy,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",original
spot,20,19,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",8,We spotted a couple of friends there.,we spot couple,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",original
offer,110,19,"I wonder, however, what we could have done differently to avoid his attitude.",9,He offered to take it back to the kitchen to heat it up,he offer,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",original
have,22,19,It was a good thing that they didn't prepare my meal before giving me the price!,10,I had no money to pay. ,I have money,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,original
happy,41,19,"The food was good, the service was good, we had a fun time.",11,I was happy to be out at lunch.,I happy,0,120,"The food was good, the service was good, we had a fun time.",original
ask,21,19,"After perusing our menus, the waitress came over to take our order.",12,The waitress asked for my order.,waitress ask for order,0,243,"After perusing our menus, the waitress came over to take our order.",original
eat,68,19,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",13,The couple ate some and decided to run out on the bill.,couple eat some,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",original
wait,133,19,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",14,We'd been waiting for food for nearly forty minutes,we wait for food,0,191,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",original
offer,86,19,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",15,They offered to make me a fresh new pie. ,they offer,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",original
go,58,19,It's freezing this time of year so I didn't want to sit near the door.,16,I went to a restaurant and they told me to wait for an open table. ,I go to restaurant,0,171,It's freezing this time of year so I didn't want to sit near the door.,original
horrible,10,19,It's freezing this time of year so I didn't want to sit near the door.,17,My day was horrible.,day horrible,1,025,It's freezing this time of year so I didn't want to sit near the door.,original
ask,88,20,He tell.,1,He asked a question about the restaurant.,he ask question about restaurant,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",caveman
call,86,20,I order.,2,I called the restaurant,I call restaurant,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
great,84,20,Server start.,3,The food was great.,food great,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",caveman
serve,10,20,It be.,4,The dessert was served.,dessert serve,0,025,It was off to a bad start as soon as I walked in the door.,caveman
ask,102,20,We start on way.,5,I asked for the manager.,I ask for manager,7,151,We started on our way out of the restaurant.,caveman
order,22,20,I order.,6,I ordered a meal.,I order meal,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",caveman
accept,40,20,I have.,7,I accepted her offer.,I accept offer,1,086,I always had to speak up and try to get her attention for a refill.,caveman
suggest,78,20,We not allow.,8,The waiter suggested an option.,waiter suggest option,0,022,"As I said, we did not allow it to tarnish our evening.",caveman
horrible,18,20,Waiter say.,9,The service was horrible,service horrible,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",caveman
