workerid,document,chain,clozeIndex,original,gloss,entitymatch,vpmatch,vp,response,condition,trialnum
18,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.","In reality this ""judge'' was trying to hide his martini on the floor.",TODO,no,unruly,"The patron was unruly, but looked too drunk to do anything about it.",original,7
24,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.","In reality this ""judge'' was trying to hide his martini on the floor.",TODO,no,complain,The man loudly complained and then proceeded to knock a glass off the bar.,original,15
4,171,29,0,It happened on a bank holiday and I was not at work that day.,It happened on a bank holiday and I was not at work that day.,TODO,no,full,"It was a Friday, so the restaurant was full.",original,4
5,171,29,0,It happened on a bank holiday and I was not at work that day.,It happen.,TODO,no,bring,The waitress brough a pitcher out from the bar. ,event_only,17
7,171,29,0,It happened on a bank holiday and I was not at work that day.,It happen.,TODO,no,pour,It poured rain.,event_only,1
8,171,29,0,It happened on a bank holiday and I was not at work that day.,It happened on a bank holiday and I was not at work that day.,TODO,no,walk,I was walking outside and noticed a restaurant.,original,11
12,171,29,0,It happened on a bank holiday and I was not at work that day.,It happen on holiday.,TODO,no,walk,As I walked out side the rain began to pour like mad.,caveman,7
18,171,29,0,It happened on a bank holiday and I was not at work that day.,It happened on a bank holiday and I was not at work that day.,TODO,no,small,The next location was extremely small.,original,17
22,171,29,0,It happened on a bank holiday and I was not at work that day.,It happen on holiday.,TODO,no,enter,We arrive.,caveman,16
24,171,29,0,It happened on a bank holiday and I was not at work that day.,It happened on a bank holiday and I was not at work that day.,TODO,no,enjoy,"I couldn't enjoy my meal, because of two screaming babies in the restaurant.",original,3
1,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,no,no,come,The waiter came to the table at last. ,caveman,10
2,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,eat,I eat and it is good.,event_only,17
4,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It was a good thing that they didn't prepare my meal before giving me the price!,TODO,no,embarrassed,I was so embarrassed.,original,8
6,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,order,Someone was placing an order at a restaurant.,event_only,16
7,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,order,I order a sandwich.,event_only,17
10,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,wait,I could not wait to taste that delicious burrito,event_only,11
11,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,eat,I eat.,caveman,3
12,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,order,"I was in the drive-thru at Mcdonalds, I placed my order.",caveman,8
13,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,relax,We relaxed and took our time when the meal arrived.,caveman,14
14,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,look,I looked over the menu.,event_only,14
15,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,order,Why do you care about what I order,caveman,1
16,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,eat,I eat.,caveman,4
17,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It thing.,TODO,no,order,I am ready to order.,caveman,2
18,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It was a good thing that they didn't prepare my meal before giving me the price!,TODO,no,embarrassed,I have never been so embarrassed.,original,15
19,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It was a good thing that they didn't prepare my meal before giving me the price!,TODO,no,have,I had no money to pay. ,original,10
21,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It was a good thing that they didn't prepare my meal before giving me the price!,TODO,no,have,I had no idea how I was going to pay for the food.,original,16
24,153,22,1,It was a good thing that they didn't prepare my meal before giving me the price!,It was a good thing that they didn't prepare my meal before giving me the price!,TODO,no,tell,The waitress told me there was an ATM next door if I needed to get cash.,original,14
1,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour with rain.,TODO,no,happen,It happened on a weekend. ,caveman,17
3,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour with rain.,TODO,no,have,"We still had a good time, though.",caveman,6
6,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour.,TODO,no,anticipate,"Something they were anticipating, but weren't positive would happen, did.",event_only,6
10,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour.,TODO,no,happen,It happened that that particular Mondays that Chinese restaurant was c losed,event_only,4
13,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour with rain.,TODO,no,know,You never know what to expect this time of year.,caveman,13
15,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour with rain.,TODO,no,holiday,When did it happen on holiday,caveman,7
16,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour with rain.,TODO,no,end,Holiday end.,caveman,8
23,171,29,1,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,It pour.,TODO,no,surprised,We were surprised.,event_only,12
3,25,10,0,It was off to a bad start as soon as I walked in the door.,It be.,TODO,no,strong,The air conditioning was too strong.,caveman,1
5,25,10,0,It was off to a bad start as soon as I walked in the door.,It be.,TODO,no,stay,Putting our best judgement aside we decided to stay ,event_only,4
6,25,10,0,It was off to a bad start as soon as I walked in the door.,It be.,TODO,no,commute,The person had to commute outdoors in very cold weather.,event_only,9
11,25,10,0,It was off to a bad start as soon as I walked in the door.,It be.,TODO,no,cold,It cold.,caveman,15
14,25,10,0,It was off to a bad start as soon as I walked in the door.,It be.,TODO,no,have,The restaurant had the AC turned up high.,event_only,15
18,25,10,0,It was off to a bad start as soon as I walked in the door.,It was off to a bad start as soon as I walked in the door.,TODO,no,sucks,"The weather in Michigan winters sucks, especially in this old house.",original,1
20,25,10,0,It was off to a bad start as soon as I walked in the door.,It be.,TODO,no,serve,The dessert was served.,caveman,4
21,25,10,0,It was off to a bad start as soon as I walked in the door.,It was off to a bad start as soon as I walked in the door.,TODO,no,cold,It's so cold out now and the door is drafty.,original,6
2,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,point,When the waiter brought our food he pointed something out to me.,event_only,3
2,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,be,So it will be.,event_only,9
4,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It's freezing this time of year so I didn't want to sit near the door.,TODO,no,busy,The restaurant was busy and we had to wait to be seated.,original,6
8,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It's freezing this time of year so I didn't want to sit near the door.,TODO,no,tell,I can tell by the emptiness of the restaurant that it wouldn't be good.,original,8
9,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,go,I went to a restaurant.,caveman,17
10,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,be,And indeed it was so.,event_only,8
11,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,come,I come.,caveman,1
12,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,great,It was a great experience.,caveman,14
14,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,get,We quickly got a table. ,event_only,16
16,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,end,It end.,caveman,11
17,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,get,I find a table to enjoy my meal.,caveman,7
17,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,order,I decide to order it as well.,caveman,17
19,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It's freezing this time of year so I didn't want to sit near the door.,TODO,no,go,I went to a restaurant and they told me to wait for an open table. ,original,16
19,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It's freezing this time of year so I didn't want to sit near the door.,TODO,no,horrible,My day was horrible.,original,17
20,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It freezing.,TODO,no,arrive,I arrived at the restaurant.,caveman,10
21,171,58,0,It's freezing this time of year so I didn't want to sit near the door.,It's freezing this time of year so I didn't want to sit near the door.,TODO,no,tell,They told me that the booth was reserved and so I couldn't have it.,original,15
24,25,10,1,It's freezing this time of year so I didn't want to sit near the door.,It's freezing this time of year so I didn't want to sit near the door.,TODO,no,notice,I noticed a server on staff that day was the same one who'd been rude to me before.,original,16
8,271,18,1,"Just to spite him, we remained at our table for nearly 3 hours.","Just to spite him, we remained at our table for nearly 3 hours.",no,no,worst,This was the worse experience I ever had a restaurant.,original,17
11,271,18,1,"Just to spite him, we remained at our table for nearly 3 hours.",We remain for hour to spite.,TODO,no,pay,I pay.,caveman,5
13,271,18,1,"Just to spite him, we remained at our table for nearly 3 hours.",We remain for hour to spite.,TODO,no,lovely,The entire experience was lovely.,caveman,11
16,271,18,1,"Just to spite him, we remained at our table for nearly 3 hours.",We remain for hour to spite.,TODO,no,sign,I sign.,caveman,15
23,271,18,1,"Just to spite him, we remained at our table for nearly 3 hours.",We remain.,TODO,no,thank,We thank him.,event_only,8
1,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,no,no,forget,"I forgot my wallet at home, and could not pay for my food. ",caveman,4
3,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,TODO,no,spill,The waiter spilled my drink on me.,caveman,7
6,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,TODO,no,embarrassing,Someone did something embarrassing in public.,event_only,13
10,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,TODO,no,drop,My pants somehow dropped,event_only,7
12,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,TODO,no,walk,When I walked into the cafeteria I dropped my plate.,caveman,4
14,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,TODO,no,drop,I dropped the plate.,event_only,2
16,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,TODO,no,trip,I trip.,caveman,16
18,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,TODO,no,upset,My wife came completely unglued and threatened to sue the restaurant.,original,6
22,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,Husband decide.,TODO,no,drop,I drop.,caveman,10
24,177,168,0,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,TODO,no,knock,My friend knocked over a dessert cart at a restaurant.,original,1
2,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,ask,I asked what she wanted.,event_only,12
3,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,options,There were a lot of options to choose from.,caveman,16
6,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,decide,She decided to break up with someone.,event_only,11
7,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,decide,She decide who wins.,event_only,8
8,33,76,0,"Of course, she breaks the teabag inside.","Of course, she breaks the teabag inside.",TODO,no,talk,She has been talking on the phone all night.,original,4
9,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,know,She doesn't know what to do.,caveman,13
10,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,decide,"Where to go for dinner?As usual,",event_only,1
12,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,decide,She had just to make her decision on the menu but was getting close.,caveman,13
13,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,discuss,We discussed it at length. ,caveman,6
14,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,read,The waiter read us the specials.,event_only,11
17,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,decide,She was finally able to decide.,caveman,1
19,33,76,0,"Of course, she breaks the teabag inside.","Of course, she breaks the teabag inside.",TODO,no,pain,Martha has been being a complete pain all night.,original,3
20,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,argue,We argued about what we would get.,caveman,17
21,33,76,0,"Of course, she breaks the teabag inside.","Of course, she breaks the teabag inside.",TODO,no,look,I looked at the rude woman on her cellphone as she held up the rest of the line.,original,14
22,33,76,0,"Of course, she breaks the teabag inside.",She break.,TODO,no,ask,He asks.,caveman,15
24,33,76,0,"Of course, she breaks the teabag inside.","Of course, she breaks the teabag inside.",TODO,no,keep,"The woman kept changing her order, and had been talking on her phone for five minutes.",original,12
3,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Son behave.,TODO,no,fault,"It wasn't the restaurant's fault, though.",caveman,3
5,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Son behave.,TODO,no,get,Please get the manager ,event_only,5
7,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Son behave.,TODO,no,blame,We blame the criminals.,event_only,5
15,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Son behave.,TODO,no,NA,what would we be,caveman,9
17,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Son behave.,TODO,no,make,The son accidentally makes a mess.,caveman,10
18,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,TODO,yes,crash,He eventually wore out and crashed.,original,3
22,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Son behave.,TODO,no,mistake,He make mistake.,caveman,5
23,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Son behave.,TODO,no,apologize,We apologized for the problem.,event_only,2
24,191,11,4,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,TODO,no,scream,"My kid started to scream loudly, because he was tired.",original,17
5,50,110,1,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,Dish hot.,TODO,no,decide,She decided to think it over before signing. ,event_only,NA
6,50,110,1,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,,no,no,retired,"The person's wife retired, but he refused to and wondered why his wife chose to.",event_only,NA
7,50,110,1,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,Dish hot.,TODO,no,wonder,I wonder who will win.,event_only,NA
9,50,110,1,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,Dish not hot.,TODO,no,want,She wants us to buy an RV.,caveman,NA
21,50,110,1,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,TODO,no,fixed income,We are on a fixed income.,original,8
23,50,110,1,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,Dish hot.,TODO,no,work,I still need to work.,event_only,NA
24,50,110,1,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,The dish was not hot and barely palatable  I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,TODO,yes,rude,Our server was extremely rude to us at the restaurant.,original,13
3,120,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,arrive,We arrived early.,caveman,12
4,243,41,0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.",TODO,no,go,We went to our regular restaurant on Friday night.,original,16
8,243,41,0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.",TODO,no,come,The waiter came and seated us.,original,2
8,120,41,0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.",TODO,no,go,My family has gotten me to go to a restaurant.,original,12
9,243,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,decide,We decided which restaurant to go to.,caveman,5
9,120,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,decide,We picked a restaurant.,caveman,12
11,120,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,hungry,We hungry.,caveman,11
15,243,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,ask,what did she ask,caveman,15
16,243,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,arrive,We enter.,caveman,17
18,120,41,0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.",TODO,no,converse,We ended up carrying on quite a conversation with the waitress.,original,11
19,120,41,0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.",TODO,yes,enjoy,I was happy to be out at lunch.,original,11
20,243,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,arrive,We arrived at the restaurant.,caveman,13
20,120,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,greet,We were greeted by the hostess,caveman,14
21,243,41,0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.",TODO,no,friendly,"We're friendly, but I'm shy.",original,7
21,120,41,0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.",TODO,no,decide,We decided to try the new restaurant with good reviews.,original,17
22,120,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,decide,We decide.,caveman,2
23,243,41,0,"The food was good, the service was good, we had a fun time.",Food good.,TODO,no,reserve,We made reservations.,event_only,11
9,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout after they.,TODO,yes,leave,He leaves without paying.,caveman,7
10,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout.,TODO,no,satisfied,He was not at all satisfied,event_only,13
11,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout after they.,TODO,yes,leave,He leave.,caveman,8
12,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout after they.,TODO,yes,throw,After he threw the ticket he stormed out of the place.,caveman,10
13,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout after they.,TODO,no,think,I thought to myself that it was a waste of food.,caveman,8
16,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout after they.,TODO,yes,leave,He leave.,caveman,9
18,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",yes,no,upset,"After the third steak, the man was getting visibly agitated, and appeared to become violent.",original,4
21,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",TODO,no,think,The man next to us thought they weren't giving him the full size of steak he ordered.,original,4
22,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout after they.,TODO,yes,leave,Man leave.,caveman,1
23,196,68,6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",Manager shout.,TODO,yes,leave,The couple walked out of the restaurant.,event_only,1
5,151,102,5,The salads with the dinners were delivered before the appetizer we ordered.,Salad deliver.,TODO,no,ask,He asked if we would like to order anything else ,event_only,9
6,151,102,5,The salads with the dinners were delivered before the appetizer we ordered.,Salad deliver.,TODO,no,have,"They had a negative experience at a restaurant, which they informed the manager of.",event_only,2
7,151,102,5,The salads with the dinners were delivered before the appetizer we ordered.,Salad deliver.,TODO,no,order,We order two Cokes.,event_only,13
14,151,102,5,The salads with the dinners were delivered before the appetizer we ordered.,Salad deliver.,TODO,no,ask,Our waited asked how our food tasted.,event_only,7
17,151,102,5,The salads with the dinners were delivered before the appetizer we ordered.,Salad deliver before appetizer.,TODO,no,ask,The waiter asks if we need anything else.,caveman,5
22,151,102,5,The salads with the dinners were delivered before the appetizer we ordered.,Salad deliver before appetizer.,TODO,no,ask,Waiter ask.,caveman,14
1,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,no,yes,come,The waiter came to the table. ,caveman,1
3,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,no,fast,The service was very fast.,caveman,13
6,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,no,impatient,Someone was impatient and wanted to the time to pass quickly.,event_only,14
8,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",TODO,no,eat,I have been sitting there eating my food silently.,original,6
10,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,no,arrive,the moment we had been waiting for finally arrived,event_only,9
13,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,yes,stop,I stopped the watch just in time.,caveman,16
15,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,no,seem,You'll be able to see in seconds come,caveman,2
17,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,no,eat,I can definitely still eat more.,caveman,4
18,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",TODO,no,tell,We told him it was great.,original,13
19,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",TODO,no,bring,A server had just brought out food.,original,1
20,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,no,enjoy,The food was great.,caveman,3
21,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",TODO,no,ask,She came back and asked us about the meal.,original,2
23,63,84,1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",Server start.,TODO,no,eat,We then worked on eating the food.,event_only,3
2,271,18,0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",Waiter say.,TODO,no,go,We went to the restaurant.,event_only,6
5,271,18,0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",Waiter say.,TODO,no,leave,A few of our guests had to leave early.,event_only,14
7,271,18,0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",Waiter say.,TODO,no,remain,We remained in the restaurant to leave a tip.,event_only,2
9,271,18,0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",Waiter say.,TODO,no,go,We went to a restaurant with free WiFi.,caveman,6
12,271,18,0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",Waiter say.,TODO,no,talk,We started another conversation while we ate.,caveman,16
