"workerid","document","chain","clozeIndex","original","gloss","response","condition","trialnum"
"11","023","88",4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He tell.","I lie.","caveman",14
"11","025","10",0,"It was off to a bad start as soon as I walked in the door.","It be.","It cold.","caveman",15
"11","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We people.","We eat.","caveman",16
"11","177","168",2,"I was so embarrassed by the spectacle she made us into that I just wanted to leave.","I embarrassed.","She mad.","caveman",17
"12","022","78",0,"As I said, we did not allow it to tarnish our evening.","We not allow.","You think you was correct, but really you had it all wrong.","caveman",1
"12","023","88",4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He tell.","Then he looks at what he took out of my hands.","caveman",2
"12","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","I have never felt so lively, today was a wonderful day.","caveman",3
"12","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","Husband decide.","When I walked into the cafeteria I dropped my plate.","caveman",4
"12","050","110",1,"The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","Dish not hot.","My wife is talking to me about retiring from work.","caveman",5
"12","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand to i.","The waiter asks me what I would like to order.","caveman",6
"12","171","29",0,"It happened on a bank holiday and I was not at work that day.","It happen on holiday.","As I walked out side the rain began to pour like mad.","caveman",7
"12","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I was in the drive-thru at Mcdonalds, I placed my order.","caveman",8
"12","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","I sat down at the table in the restaurant.","caveman",9
"12","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","Manager shout after they.","After he threw the ticket he stormed out of the place.","caveman",10
"12","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We people.","We talk while we walk towards the table.","caveman",11
"12","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","We stop talking at the waiter approaches the table.","caveman",12
"12","033","76",0,"Of course, she breaks the teabag inside.","She break.","She had just to make her decision on the menu but was getting close.","caveman",13
"12","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","It was a great experience.","caveman",14
"12","151","62",0,"At this point I'm just sticking around to watch the show.","I stick.","I looked down at my salad and noticed something.","caveman",15
"12","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","We started another conversation while we ate.","caveman",16
"12","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","I told my son not to do that again.","caveman",17
"13","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","But I told him there would be certain conditions he would need to meet.","caveman",1
"13","177","20",1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","Couple run.","It would be a dream come true despite the details to work out.","caveman",2
"13","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand to i.","She said not to worry about it.","caveman",3
"13","151","62",0,"At this point I'm just sticking around to watch the show.","I stick.","We left at the same time.","caveman",4
"13","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","You think.","We had to leave our dog outside in the car.","caveman",5
"13","033","76",0,"Of course, she breaks the teabag inside.","She break.","We discussed it at length. ","caveman",6
"13","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","I order.","We were in a hurry.","caveman",7
"13","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","Manager shout after they.","I thought to myself that it was a waste of food.","caveman",8
"13","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We people.","The atmosphere was warm and welcoming.","caveman",9
"13","023","88",5,"He told them they were no longer welcome.","He tell.","I thought about it for some time.","caveman",10
"13","271","18",1,"Just to spite him, we remained at our table for nearly 3 hours.","We remain for hour to spite.","The entire experience was lovely.","caveman",11
"13","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","Do have any batteries left?","caveman",12
"13","171","29",1,"It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","It pour with rain.","You never know what to expect this time of year.","caveman",13
"13","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","We relaxed and took our time when the meal arrived.","caveman",14
"13","050","110",2,"I refused but also declined to tip the culprit.","I refuse.","She usually doesn't like a sink of dirty dishes being left.","caveman",15
"13","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","I stopped the watch just in time.","caveman",16
"13","025","47",1,"At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","He mention.","We both ordered the same thing.","caveman",17
"14","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","We asked for our meal to be comped.","event_only",1
"14","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","They asked for their meal to be comped.","event_only",1
"14","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","Husband decide.","I dropped the plate.","event_only",2
"14","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","I told my son to sit down or else we'd leave.","event_only",3
"14","023","88",4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He tell.","I asked for the specials.","event_only",4
"14","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","You think.","They asked if we would switch tables. ","event_only",5
"14","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","We finished our meal and waited for the bill.","event_only",6
"14","151","102",5,"The salads with the dinners were delivered before the appetizer we ordered.","Salad deliver.","Our waited asked how our food tasted.","event_only",7
"14","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder.","The waiter brought us free dessert anyway.","event_only",8
"14","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We people.","We asked for a table for two.","event_only",9
"14","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand.","She looked over the menu.","event_only",10
"14","033","76",0,"Of course, she breaks the teabag inside.","She break.","The waiter read us the specials.","event_only",11
"14","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","Our waiter asked if we'd been here before.","event_only",12
"14","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","We sat down.","event_only",13
"14","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I looked over the menu.","event_only",14
"14","025","10",0,"It was off to a bad start as soon as I walked in the door.","It be.","The restaurant had the AC turned up high.","event_only",15
"14","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","We quickly got a table. ","event_only",16
"14","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","We made a reservation and got a table quickly.","event_only",17
"15","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","Why do you care about what I order","caveman",1
"15","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","You'll be able to see in seconds come","caveman",2
"15","177","168",2,"I was so embarrassed by the spectacle she made us into that I just wanted to leave.","I embarrassed.","As for what women order, a lot of them let their husband decide.","caveman",3
"15","050","110",2,"I refused but also declined to tip the culprit.","I refuse.","Why would my wife retire.","caveman",4
"15","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","WHo could this couple be.","caveman",5
"15","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand to i.","which one should we keep","caveman",6
"15","171","29",1,"It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","It pour with rain.","When did it happen on holiday","caveman",7
"15","033","76",1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","She decide.","what bone did she break","caveman",8
"15","191","11",4,"Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","Son behave.","what would we be","caveman",9
"15","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","What soup should I order","caveman",10
"15","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","what soup did the waitress offer","caveman",11
"15","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","what soup did the waitress offer","caveman",11
"15","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupt.","where should i go.","caveman",12
"15","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","How much should i tip","caveman",13
"15","025","47",1,"At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","He mention.","when will the waiter come","caveman",14
"15","243","41",0,"The food was good, the service was good, we had a fun time.","Food good.","what did she ask","caveman",15
"15","243","41",0,"The food was good, the service was good, we had a fun time.","Food good.","what did she ask","caveman",15
"15","151","102",7,"We started on our way out of the restaurant.","We start on way.","How should i reply","caveman",16
"15","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","You think.","What rules do we not allow?","caveman",17
"16","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","Son misbehave.","caveman",1
"16","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","Walk up to server.","caveman",2
"16","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","He gives.","caveman",3
"16","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I eat.","caveman",4
"16","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand to i.","Waiter leaves.","caveman",5
"16","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","I order.","I wait.","caveman",6
"16","023","88",5,"He told them they were no longer welcome.","He tell.","He ask.","caveman",7
"16","171","29",1,"It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","It pour with rain.","Holiday end.","caveman",8
"16","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","Manager shout after they.","He leave.","caveman",9
"16","151","62",0,"At this point I'm just sticking around to watch the show.","I stick.","I grab.","caveman",10
"16","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","It end.","caveman",11
"16","050","110",2,"I refused but also declined to tip the culprit.","I refuse.","I ask.","caveman",12
"16","022","48",1,"In reality this ""judge'' was trying to hide his martini on the floor.","Judge try in reality.","They are employees.","caveman",13
"16","033","76",1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","She decide.","She buy.","caveman",14
"16","271","18",1,"Just to spite him, we remained at our table for nearly 3 hours.","We remain for hour to spite.","I sign.","caveman",15
"16","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","Husband decide.","I trip.","caveman",16
"16","243","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We enter.","caveman",17
"17","033","76",0,"Of course, she breaks the teabag inside.","She break.","She was finally able to decide.","caveman",1
"17","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I am ready to order.","caveman",2
"17","120","41",2,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","We seat.","I need to ask for another item.","caveman",3
"17","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","I can definitely still eat more.","caveman",4
"17","151","102",5,"The salads with the dinners were delivered before the appetizer we ordered.","Salad deliver before appetizer.","The waiter asks if we need anything else.","caveman",5
"17","177","168",2,"I was so embarrassed by the spectacle she made us into that I just wanted to leave.","I embarrassed.","The husband did not mind.","caveman",6
"17","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","I find a table to enjoy my meal.","caveman",7
"17","243","21",0,"After perusing our menus, the waitress came over to take our order.","Waitress come.","I am deciding on what to eat.","caveman",8
"17","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","We had rude service.","caveman",9
"17","191","11",4,"Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","Son behave.","The son accidentally makes a mess.","caveman",10
"17","050","110",2,"I refused but also declined to tip the culprit.","I refuse.","I get home from work late.","caveman",11
"17","023","88",5,"He told them they were no longer welcome.","He tell.","I begin to get upset.","caveman",12
"17","022","78",0,"As I said, we did not allow it to tarnish our evening.","We not allow.","I think the meal was good.","caveman",13
"17","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","I decided to order another.","caveman",14
"17","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","They decided to leave the restaurant.","caveman",15
"17","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","We all arrive on time for our meal.","caveman",16
"17","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","I decide to order it as well.","caveman",17
"18","025","10",0,"It was off to a bad start as soon as I walked in the door.","It was off to a bad start as soon as I walked in the door.","The weather in Michigan winters sucks, especially in this old house.","original",1
"18","033","76",1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","Now my tea is so strong I can't drink it.","original",2
"18","191","11",4,"Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","He eventually wore out and crashed.","original",3
"18","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","After the third steak, the man was getting visibly agitated, and appeared to become violent.","original",4
"18","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupted her stating, ""I will go get my manager,'' and walked away.","I told the guest that their coupons were not any good here.","original",5
"18","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupted her stating, ""I will go get my manager,'' and walked away.","I told the guest that their coupons were not any good here.","original",5
"18","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","My wife came completely unglued and threatened to sue the restaurant.","original",6
"18","022","48",1,"In reality this ""judge'' was trying to hide his martini on the floor.","In reality this ""judge'' was trying to hide his martini on the floor.","The patron was unruly, but looked too drunk to do anything about it.","original",7
"18","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","We did not know what the bill would look like, since the rest of the experience was so bad.","original",8
"18","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We love this restaurant.","original",9
"18","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","The waitress either can't hear or doesn't pay attention.","original",10
"18","120","41",0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.","We ended up carrying on quite a conversation with the waitress.","original",11
"18","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","The annoying waiter was a real douche.","original",12
"18","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","We told him it was great.","original",13
"18","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.","We will not be back.","original",14
"18","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It was a good thing that they didn't prepare my meal before giving me the price!","I have never been so embarrassed.","original",15
"18","151","102",7,"We started on our way out of the restaurant.","We started on our way out of the restaurant.","We got up and began to walk out of the restaurant.","original",16
"18","171","29",0,"It happened on a bank holiday and I was not at work that day.","It happened on a bank holiday and I was not at work that day.","The next location was extremely small.","original",17
"19","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","A server had just brought out food.","original",1
"19","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Our waiter was totally awful. ","original",2
"19","033","76",0,"Of course, she breaks the teabag inside.","Of course, she breaks the teabag inside.","Martha has been being a complete pain all night.","original",3
"19","023","88",5,"He told them they were no longer welcome.","He told them they were no longer welcome.","I made it clear that I wouldn't tolerate that type of behavior either.","original",4
"19","086","40",1,"I always had to speak up and try to get her attention for a refill.","I always had to speak up and try to get her attention for a refill.","The waitress was helpful but seemed to dislike me.","original",5
"19","151","102",7,"We started on our way out of the restaurant.","We started on our way out of the restaurant.","We began leaving the restaurant.","original",6
"19","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","If anyone should know better, you'd think it was him, except for his sense of entitlement.","We enjoyed the night just fine.","original",7
"19","177","20",1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","We spotted a couple of friends there.","original",8
"19","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.","He offered to take it back to the kitchen to heat it up","original",9
"19","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It was a good thing that they didn't prepare my meal before giving me the price!","I had no money to pay. ","original",10
"19","120","41",0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.","I was happy to be out at lunch.","original",11
"19","243","21",0,"After perusing our menus, the waitress came over to take our order.","After perusing our menus, the waitress came over to take our order.","The waitress asked for my order.","original",12
"19","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","The couple ate some and decided to run out on the bill.","original",13
"19","191","133",0,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","We'd been waiting for food for nearly forty minutes","original",14
"19","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","They offered to make me a fresh new pie. ","original",15
"19","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It's freezing this time of year so I didn't want to sit near the door.","I went to a restaurant and they told me to wait for an open table. ","original",16
"19","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It's freezing this time of year so I didn't want to sit near the door.","My day was horrible.","original",17
"20","023","88",4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He tell.","He asked a question about the restaurant.","caveman",1
"20","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","I called the restaurant","caveman",2
"20","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","The food was great.","caveman",3
"20","025","10",0,"It was off to a bad start as soon as I walked in the door.","It be.","The dessert was served.","caveman",4
"20","151","102",7,"We started on our way out of the restaurant.","We start on way.","I asked for the manager.","caveman",5
"20","153","22",0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","I order.","I ordered a meal.","caveman",6
"20","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","I accepted her offer.","caveman",7
"20","022","78",0,"As I said, we did not allow it to tarnish our evening.","We not allow.","The waiter suggested an option.","caveman",8
"20","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","The service was horrible","caveman",9
"20","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","I arrived at the restaurant.","caveman",10
"20","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder.","I complained to the manager","caveman",11
"20","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","My son began to throw a tantrum","caveman",12
"20","243","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We arrived at the restaurant.","caveman",13
"20","120","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We were greeted by the hostess","caveman",14
"20","177","168",2,"I was so embarrassed by the spectacle she made us into that I just wanted to leave.","I embarrassed.","Everyone laughs at him.","caveman",15
"20","196","68",3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put on table.","The man asks for the time.","caveman",16
"20","033","76",0,"Of course, she breaks the teabag inside.","She break.","We argued about what we would get.","caveman",17
"21","086","40",1,"I always had to speak up and try to get her attention for a refill.","I always had to speak up and try to get her attention for a refill.","when they were half full","original",1
"21","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","She came back and asked us about the meal.","original",2
"21","151","62",0,"At this point I'm just sticking around to watch the show.","At this point I'm just sticking around to watch the show.","I found a snot rag in my salad.","original",3
"21","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","The man next to us thought they weren't giving him the full size of steak he ordered.","original",4
"21","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","We stayed at the table longer than normal and I tipped more than I should have.","original",5
"21","025","10",0,"It was off to a bad start as soon as I walked in the door.","It was off to a bad start as soon as I walked in the door.","It's so cold out now and the door is drafty.","original",6
"21","243","41",0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.","We're friendly, but I'm shy.","original",7
"21","050","110",1,"The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","We are on a fixed income.","original",8
"21","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","The waitress made several mistakes on our order.","original",9
"21","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupted her stating, ""I will go get my manager,'' and walked away.","They had brought coupons in that we didn't normally accept.","original",10
"21","177","168",2,"I was so embarrassed by the spectacle she made us into that I just wanted to leave.","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","It's like they thought we were divorced.","original",11
"21","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","If anyone should know better, you'd think it was him, except for his sense of entitlement.","We made up for the evening later on.","original",12
"21","191","133",0,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","It was hard to believe that they already had their food.","original",13
"21","033","76",0,"Of course, she breaks the teabag inside.","Of course, she breaks the teabag inside.","I looked at the rude woman on her cellphone as she held up the rest of the line.","original",14
"21","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It's freezing this time of year so I didn't want to sit near the door.","They told me that the booth was reserved and so I couldn't have it.","original",15
"21","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It was a good thing that they didn't prepare my meal before giving me the price!","I had no idea how I was going to pay for the food.","original",16
"21","120","41",0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.","We decided to try the new restaurant with good reviews.","original",17
"22","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","Manager shout after they.","Man leave.","caveman",1
"22","120","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We decide.","caveman",2
"22","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","Group sit.","caveman",3
